-------------------------------------------
|            Входные данные               |
-------------------------------------------
X нач. = 0
X кон. = 100
dX = 0.1
Точн. = 1e-16

-------------------------------------------
|    X   |  Done  |    S    |  Count Iter |
|16.7|true |-8.779028178e-07|77|
|16.8|true |-8.004288711e-07|77|
|16.9|true |-7.221310029e-07|77|
|17|true |-6.663279597e-07|78|
|17.1|true |-6.00272295e-07|78|
|17.2|true |-5.491201507e-07|78|
|17.3|true |-4.956577075e-07|79|
|17.4|true |-4.609900283e-07|79|
|17.5|true |-4.144240511e-07|79|
|17.6|true |-3.756279792e-07|79|
|17.7|true |-3.389735904e-07|80|
|17.8|true |-3.051376368e-07|80|
|17.9|true |-2.84110926e-07|80|
|18|true |-2.658772933e-07|81|
|18.1|true |-2.451538215e-07|81|
|18.2|true |-2.321817642e-07|81|
|18.3|true |-1.989528041e-07|82|
|18.4|true |-2.03868489e-07|82|
|18.5|true |-1.850585167e-07|82|
|18.6|true |-1.555295479e-07|82|
|18.7|true |-1.319185811e-07|83|
|18.8|true |-1.117544013e-07|83|
|18.9|true |-1.61531189e-07|83|
|19|true |-5.681833385e-08|84|
|19.1|true |-4.427166388e-08|84|
|19.2|true |-3.839107012e-08|84|
|19.3|true |-5.807557074e-08|85|
|19.4|true |-1.119868836e-07|85|
|19.5|true |-1.299595076e-07|85|
|19.6|true |-7.148962111e-08|85|
|19.7|true |-4.198368038e-08|86|
|19.8|true |4.216274207e-08|86|
|19.9|true |8.915393586e-08|86|
|20|true |-1.198622614e-07|87|
|20.1|true |-2.149363525e-07|87|
|20.2|true |-7.68965692e-08|87|
|20.3|true |1.589184813e-07|87|
|20.4|true |-3.491357739e-08|88|
|20.5|true |-2.512763177e-07|88|
|20.6|true |6.007001131e-08|88|
|20.7|true |-2.72929333e-07|89|
|20.8|true |8.621071927e-08|89|
|20.9|true |-5.742766585e-09|89|
|21|true |-1.141079247e-07|90|
|21.1|true |4.682214815e-07|90|
|21.2|true |1.720757623e-08|90|
|21.3|true |2.808600248e-08|90|
|21.4|true |2.970076191e-07|91|
|21.5|true |1.970845305e-07|91|
|21.6|true |1.649364738e-07|91|
|21.7|true |-1.042674457e-06|92|
|21.8|true |-1.068379031e-06|92|
|21.9|true |-7.438232266e-07|92|
|22|true |-9.40216163e-07|92|
|22.1|true |-1.571816211e-06|93|
|22.2|true |-1.057883124e-06|93|
|22.3|true |-1.789044173e-07|93|
|22.4|true |1.461729873e-07|94|
|22.5|true |1.52320837e-06|94|
|22.6|true |3.152344966e-07|94|
|22.7|true |-7.644086941e-07|95|
|22.8|true |-9.98841036e-07|95|
|22.9|true |-1.46935361e-06|95|
|23|true |-4.354782051e-06|95|
|23.1|true |1.436966977e-07|96|
|23.2|true |-1.572281763e-06|96|
|23.3|true |-1.409300943e-06|96|
|23.4|true |-3.294652424e-07|97|
|23.5|true |-6.298914477e-08|97|
|23.6|true |1.278959974e-06|97|
|23.7|true |2.953159682e-06|97|
|23.8|true |-4.336671952e-06|98|
|23.9|true |-4.48936187e-06|98|
|24|true |5.563520956e-07|98|
|24.1|true |8.534849658e-07|99|
|24.2|true |9.201057822e-06|99|
|24.3|true |1.561162734e-08|99|
|24.4|true |-3.360755939e-06|99|
|24.5|true |-6.409081462e-06|100|
|24.6|true |-1.395219722e-05|100|
|24.7|true |-1.17366719e-05|100|
|24.8|true |-1.33184559e-05|101|
|24.9|true |7.802990294e-06|101|
|25|true |-2.086034367e-06|101|
|25.1|true |-1.937731815e-05|102|
|25.2|true |1.854601177e-05|102|
|25.3|true |1.046051401e-05|102|
|25.4|true |-8.267196746e-06|102|
|25.5|true |1.55682575e-05|103|
|25.6|true |-3.818129598e-05|103|
|25.7|true |4.841286863e-05|103|
|25.8|true |-3.760915083e-05|104|
|25.9|true |5.756242246e-05|104|
|26|true |1.069164069e-05|104|
|26.1|true |4.667781872e-05|104|
|26.2|true |3.998008948e-05|105|
|26.3|true |-6.581805335e-05|105|
|26.4|true |9.997915739e-05|105|
|26.5|true |6.198798437e-05|106|
|26.6|true |9.818806291e-06|106|
|26.7|true |-1.523634029e-05|106|
|26.8|true |-8.761309145e-05|106|
|26.9|true |1.047978267e-05|107|
|27|true |0.0001210070575|107|
|27.1|true |5.139597742e-05|107|
|27.2|true |-2.672503117e-06|108|
|27.3|true |-4.574437322e-05|108|
|27.4|true |6.398598628e-05|108|
|27.5|true |4.935899261e-05|108|
|27.6|true |-3.075038019e-05|109|
|27.7|true |-0.000282507003|109|
|27.8|true |-1.199392587e-05|109|
|27.9|true |-8.917556083e-06|110|
|28|true |0.00029922856|110|
|28.1|true |0.0002155708732|110|
|28.2|true |0.0001832477087|110|
|28.3|true |-0.001094125972|111|
|28.4|true |0.0006916701192|111|
|28.5|true |7.445287664e-05|111|
|28.6|true |-0.0004796768655|112|
|28.7|true |-0.0003844101722|112|
|28.8|true |0.001064223675|112|
|28.9|true |0.001153773012|112|
|29|true |-3.308793365e-05|113|
|29.1|true |-0.002524363484|113|
|29.2|true |0.00125409968|113|
|29.3|true |-0.0002718115772|114|
|29.4|true |-0.0008105854311|114|
|29.5|true |-0.001765435646|114|
|29.6|true |-0.0001134420602|114|
|29.7|true |-0.002076731829|115|
|29.8|true |-0.001131898156|115|
|29.9|true |-0.002688431954|115|
|30|true |-0.0001200793121|116|
|30.1|true |-0.002654122186|116|
|30.2|true |0.003715574102|116|
|30.3|true |-0.001965715756|116|
|30.4|true |-0.0002743195601|117|
|30.5|true |0.002543081074|117|
|30.6|true |-0.001696118953|117|
|30.7|true |0.007826505417|118|
|30.8|true |-0.0003127278082|118|
|30.9|true |-0.001886594324|118|
|31|true |-0.0014409223|118|
|31.1|true |-0.003929467532|119|
|31.2|true |-0.0004987675062|119|
|31.3|true |0.006264453832|119|
|31.4|true |-0.01430774966|120|
|31.5|true |-0.01623765917|120|
|31.6|true |0.01114316358|120|
|31.7|true |0.01088228568|120|
|31.8|true |-0.02941557777|121|
|31.9|true |-0.03143890959|121|
|32|true |-0.01332860431|121|
|32.1|true |0.08227399197|122|
|32.2|true |-0.01606679771|122|
|32.3|true |-0.01507766759|122|
|32.4|true |0.03336147143|122|
|32.5|true |0.03202852216|123|
|32.6|true |-0.01736637856|123|
|32.7|true |-0.01226245692|123|
|32.8|true |0.046133946|124|
|32.9|true |-0.1157853257|124|
|33|true |0.05031630458|124|
|33.1|true |-0.03026089837|124|
|33.2|true |0.0280334137|125|
